text,ground_truth,hunter_pred
"I BELIEVE THIS DRUG IS AN EXCELLENT ONE.
",0,0
"STARTED TAKING IT ABOUT SIX MONTHS AGO WHEN GIVEN TO ME BY MY CARDIOLOGIST.
",0,0
"NO IMMEDIATE OR SIDE EFFECTS NOTED SINCE STARTING.
",0,0
"HOWEVER, ON MY LIPID BLOOD TEST FOUR MONTHS LATER, WOW WHAT AN IMPROVEMENT.
",0,0
IT NOT ONLY MARKEDLY KNOCKED MY BAD CHOLESTEROL DOWN,0,0
"BUT I WOULD SAY IT WAS A MONUMENTAL ACHIEVEMENT.
",0,0
"WHEREAS TOTAL CHOLESTEROL HAD BEEN OVER 200 PREVIOUSLY, NOW IT WAS ONLY 151 AND THE BAD PORTION.
",0,0
"I THINK HDL.
",0,0
"WAS JUST 54.
",0,0
"I AM WELL SATISFIED.
",0,0
I AM AWARE OF SOME COMPLAINTS AND SPECULATION BY OTHERS,0,0
"BUT I AM GOING TO KEEP TAKING IT.
",0,0
"Debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.
",1,1
"Stopped taking it 7 days ago but the pain + other symptoms are not getting any better (all except blurred vison, that went away after 3 days off Lipitor).
",1,1
"I am scared of permanet damage.
",0,1
"I really really hope it is reversible, because I can't walk or do anything with my hands.
",0,1
"sleeplessness, peripheral neuropathy (tingling, numbness), bizarre muscular sensations, rash, itch.
",1,1
"Effective at lowering cholesterol, but not without side effects.
",0,0
"Do your research.
",0,0
"Inform your GP as soon as you experience anything strange.
",0,0
"This class of medication was most likely produced by a marketing department, rather than sound scientific study.
",0,0
"heavy legs, muscle aches, confusion, not able to remember things like whether I had done something or where I had placed something, stomach upset, indigestion, insomnia, sweating, shaking, shortness of breath, twitching, depression worse, fibromyalgia much worse.
",1,1
"Did help lower my bad cholesterol but caused me to crave sweets and carbohydrates.
",1,0
"Constipation to the point I suffered bouts of diverticulitis.
",1,1
It happened gradually,0,0
"and I didn't realize it was Lipitor, neither did my MD, said perhaps beginning of MS or lupus.
",0,0
"I hope these side effects all go away eventually.

",0,0
"I was on Voltaren to work as an anti-inflammatory for my infection.
",0,0
"The drug was horrible.
",0,0
"On second day of my medication, I experience an excruciating pain in my stomach, like gastric - but much worse.
",1,1
"Along with that I also had a sharp pain on my shoulder and couldnt sit straight.
",0,1
"I was admitted to hospital after 20 min of the pain and given MORPHINE when my doc knew that I was on Voltaren.
",0,1
"It was acute gastritis.
",0,0
"Worst adverse reaction I have ever experience.
",0,0
"Doc told me to opt for non-NSAIDs such as aspirin next time.
",0,0
"I called in a refill for Lexapro and they refilled it with LIPITOR by mistake.
",0,0
"I went through nearly that whole bottle of Lipitor before realizing the mistake.
",0,0
The side effects of this drug was that my MUSCLES ACHED so bad and my JOINTS HURT,1,1
"and I felt like an 85 yr old instead of a 42 yr old.
",1,0
"EXTREME EXHAUSTION.
",1,1
It was bad enough that I unknowingly ramped up on LIPITOR and had to suffer those side effects but I was also as a result cold turkey on my anti-depressant,0,1
"so I had to endure its nasty cold turkey withdrawal symptoms.
",0,1
"I know that for two weeks I could only work a half day before I HAD to go home and PASS OUT.
",0,0
"Then I took another week for vacation.
",0,0
"Went to the doc after the first two weeks of the torment but EVERYTHING checked good cause we didn't know about the Lexapro/Lipitor swap.
",0,0
I felt like a hypochondriac,0,0
"but I knew the bone deep aches were not my imagination.
",1,1
"NOW, I check the markings on my pills.
",0,0
"Its been over a month back on Lexapro and I STILL have joints that bark at me that I never had problems with before.
",1,0
"I started Lipitor more than two years ago.
",0,0
"Cholesterol levels were just right.
",0,0
"However, about a month ago, I started to feel leg pain/spasm/weakness/depressed/suicidal, joint pain and so forth.
",1,1
"I stopped taking it the same day I felt these symptoms.
",0,0
"My regular exercise and badminton both have been affected by this medication.
",0,0
"May be in the near future I would take this drug company to court.
",0,0
"If you feel any of the symptoms, please dicontinue this drug.
",0,0
"Joint and muscle pain; leg and foot cramping.
",1,1
"Pectoral chest pain- stabbing sharp pains, increasing in frequency as time passed.
",1,1
"My cholesterol was already great at 140 with triglicerides good too.
",0,0
"Doctor wanted me to start this medication, 5mg/day, along with Mavik 1mg for blood pressure (mine was already averaging 106/70)to prevent arterial damage due to my type 2 diabetes.
",0,0
"My total cholesterol was lowered to 128 and triglicerides to 56 after a year with a 2.something ratio.
",0,0
"Heart disease runs in my mother's side of the family and bp problems and the diabetes in my dad's side.
",0,1
"I have been on this dose for 1 year and noticed pains beginning after several months and the pains are getting more frequent and noticible.
",1,1
"I am off the drug for a self trial period to see if the pains diminish.
",1,1
"I am going to see the physician in a week and am going to mention the pains so I am curious as to her opinion.
",1,1
"Also a note, I am still fertile and should not be prescribed this drug due to unkown pregnancy side effects- interesting that it was prescribed to me anyway.
",0,0
"Doctor told me to go off of it if I wanted to get pregnant b.
",0,0
"I did not experience any, but only took 1 tab once a day for two days.
",0,0
"I found that Voltaren took away all my pain, i rarely use pain relief because i find it never helps or takes too long to take affect and just ""soldier on"".
",0,0
"As i am only young and relatively healthy i did not experience any side effects.
",0,0
"HOWEVER my parents both have had bad side effects.
",0,0
"so i dont recommend it if you suffer from High blood pressure, IBS, are prone to stomache ulcers, prone to reflux, heart burn or are an asthmatic.
",0,1
"Otherwise if like me you are healthy and just need pain relief when nothing else will cut it just take one a day, and dont stay on them.
",0,0
"the chances of getting side effects seem to increase according to the length of time you continue using them (like most drugs) and the effectiveness of the pain relief can also wear off over time.
",1,0
"My hair is getting very thin, after being on cholesterol lowering drugs for 20 yrs.
",1,1
"Lipitor, for the last 8 yrs.
",0,0
"Didn't know this was a side effect.
",0,0
"Do all cholesterol lowering drugs cause hair loss?.
",1,1
"Lipitor had the same side effects as Zocor and confirmed that Zocor caused myalgia, neuralgia, insomnia, dementia, polyneuropathy, rhabdomyolisis, subdural hematoma, coma, and pain, pain pain.
",0,1
"Lipitor seems to cause even more nerve damage than Zocor.
",0,0
"Before they go to Hell, the people at Pfizer and the doctors who shill for them should be sent to a very nasty prison.
",0,0
"Pfizer and its doctor salesmen should be stripped of every asset including their medical licenses.
",0,0
"They should be totally destroyed.
",0,0
"The proceeds of their financial liquidation should be distributed to their victims.
",0,0
"My EKG was not good and a blood test also indicated a problem.
",0,0
"I was sent for a stress test which I failed, and was sent to a heart doctor.
",0,0
"I had no other symptoms of heart problems, but I had high blood pressure and overweight.
",0,1
"So lipitor was prescribed to lessen likelihood of partial blockage to my heart.
",0,0
"Cholesterol levels are terrific now and I may be sent for another stress test next month.
",0,0
"I feel great on Lipitor but could not take Zocor(side effects).
",0,0
"I took Lipitor for 6 weeks and noticed extreme dehydration and extremely dry eyes.
",1,1
"My eyes are so dry that they stick to the eyelids at night and I am getting microabrasions on them - very painful.
",0,1
"Additionally, despite eating a pure fiber diet to lower my cholesterol, the medicine has made me extremely constipated.
",1,1
"I have been off now for 5 days.
",0,0
"The constipation is starting to go away as are the dry eyes although they are still quite painful.
",1,1
"I have started the Blood Type Diet for my blood type (A) and will lower my cholesterol naturally since I cannot fathom being on Lipitor after my experience with it.
",0,0
"I would not recommend this medicine to anyone.
",0,0
"Was doing fine on it for years.
",0,0
"I unfortunately was diagnosed with Colin cancer and had to start chemotherapy.
",0,0
"The combo of chemo and Lipitor caused my liver enzymes to rise, muscle and joint stiffness as well as sore ribs.
",1,1
"I have been off Lipitor for two days and find the muscle stiffness starting to subside.
",1,1
"Was put on lipitor 3 months ago because of high cholesteral.
",0,0
"Took for a month and seemed to have problems with feet, etc but kept taking.
",1,1
"I had tests done after a month.
",0,0
"My doctor sent a letter and said to cut the dose in half for a month and have tests again.
",0,0
"After my second set of tests she called me and told me to go off completely.
",0,0
"She said she realized that my cholesteral would go back up, but CPK is of concern.
",0,0
"Was raised to mid 200's.
",0,0
"After a month I went in and of course my cholesteral was back up and my CPK level was elevated to over 500.
",0,0
"Now am having another blood test a week later.
",0,0
Not sure what it will show,0,0
"but I feel horrible.
",1,0
"Tingly hands, terrible musche aches.
",1,1
"She told me no excercise until we determine what the problem is with CPK level.
",0,0
"My husband said my face looks puffy.
",1,1
"My eyes hurt all the time.
",1,1
"I look sickly.
",0,1
"This is horrible.
",0,0
"Never again!
DON'T TAKE THIS!!!!!!!.
",0,0
"Prescribed it for High Cholesterol (just under 6)
",0,0
"Within 2 weeks had sore feet (Faciitis) and continued to get worse.
",1,1
"Hands, fingers, wrists, lumbar and AC joints, dry mouth, hair falling out.
",1,1
"Dr diagnosed it as autoimmune polyarthritis and wanted me to start anti-inflammatories for the pain.
",0,1
"Took one and couldn't stand the side effects so stopped immediately.
",0,0
"After researching at night because I couldn't sleep, thought maybe the Lipitor might be the problem.
",0,1
"Stopped taking it immediately (3 days ago) and already I can move my feet and ankles.
",0,0
"Not hobbling around and can get out of bed without assistance.
",0,1
"Hands still sore but have some movement back in my fingers.
",0,1
"Hoping this will continue to improve given more time off the drug.
",0,0
"This drug is poisionous.
",0,0
"I haven't felt well since I started taking Lipitor.
",0,0
"The fatigue was as bad as the pain in my joints, if not worse.
",1,1
"Today is the first day I haven't needed to rest during the day and I am hoping this will improve as time passes.
",0,0
"What the hell is in this god forsaken drug?!.
",0,0
"severe abdominal cramps, leg cramps, diahhrea, after taking 10mg only 3 days.
",1,1
"Symptoms still persist 1 week later.
",0,0
"Don't take it.
",0,0
"Took three pills in a day and a half and it put me in the er twice.
",0,0
"Once for elevated bloodb pressure and dizziness.
other for severe gastritis.
",1,1
"Do not take this pill if you have stomach or blood pressure problems.
",0,0
"Scary pill!.
",0,0
none,0,1
"but it wears off after 15 days.
",0,0
"Natural cures are better; apple cidar vinegar can effectively cure arthritis and headaches; vitamin C crystals can help pain at high doses; the Gerson diet with no salt can cure migrains, Fibro etc see doctoryourself.com and 'just say no to drugs' (Nancy Reagan).
",0,0
"Intense and constant pain in my legs and arms.
",0,1
"Legs were also very painful to the touch.
",0,1
"Pain relievers didn't help.
",0,1
"I was tired all the time, couldn't sleep, loss of sexual desire.
",1,1
"My Dr sent me to a Rheumatologist as he suspected that I had Lupus.
",0,0
"Within 2 days of stopping the Lipitor, my symptoms began to subside.
",0,0
"The leg pain is gone, I have lots of energy and I can sleep again.
",1,1
"What a concept!!.
",0,0
"It did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as I went off of it.
",0,0
"I eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.
",0,0
"On lipitor for 4 years.
",0,0
Reduced cholesterol levels to normal,0,0
"BUT since taking lipitor I've developed horrible pain in both shoulders and left knee.
",0,1
"Sleeping has become extemely difficult due to pain.
",0,1
"Have to sleep in a chair most nights.
",0,0
"Orthopedist seems to think its normal aging (I'm only 55) and internist is skeptical that lipitor is the culprit.
",0,0
"I have also noticed that I have short term memory loss and am easily fatigued.
",1,1
After reading the entries on this site I'm stopping the lipitor today,0,0
"and we'll see the result.
",0,0
"muscle ache.
",1,1
"Joint pain especially spine at 10mg.

",1,1
"I had this reaction before but my doctor doubted it would be the lipitor.
",0,0
"Stopped lipitor and symptems went away.
",0,0
"Restarted lipitor at 5 mg and after 7 days seem to be having wicked joint pain again.
",1,1
"Will stop lipitor again and see results.
",0,0
"By the way 10 mg dropped my LDL to 77.
",0,0
"Could not get to sleep, then slept for 3 to 4 hours and was not rested.
",1,1
"Diarrhea was constant and I didn't feel right.
",1,1
"My body tells me when something is not good for me and I stopped taking it after 5 days.
",0,0
"Strange how the highest numbers for liking the drug, Lipitor, are listed first.
",0,0
"Who backs this website?.
",0,0
"Memory loss/ability to concentrate.
",1,1
"Prescribed 20mg for the past 3 years or so, my cholesterol levels have all been normal since starting this medicine.
",0,0
"Originally I was given Crestor 10mg, but experienced muscle pain, and was given Lipitor.
",1,1
"The only problem is I feel I have suffered memory loss and the ability to concentrate since taking this medication.
",1,1
"Muscle Pain in left arm and upper back.
",0,1
"Hair dryness, breakage and loss.
",0,1
"I was able to stop the muscle pain in its tracks by taking CoQ10 supplements but the hair dryness, breakage and loss is not good.
",1,1
"Currently trying to find a supplement to counter hair loss.
",1,1
"If I can find something, I will stay on Lipitor.
",0,0
"It has lowered my Cholesterol from 11.7 to 7 !
",0,0
"My doctor wanted me to switch from Lipitor to Lipidil Micro as I was so upset by the hair loss and muscle pain but I have stopped having muscle pain by taking CoQ10 and before I switch to another drug that may have other side effects, I want to research it (Lipidil) further.
",0,1
"If anyone has experienced hair loss on Lipidil please let me know.
",0,1
"periodic achy muscles.
",1,1
"20 mg.
brought my counts way down.
",0,0
"After 1 1/2 years of taking 10 mg/ day I am experiencing constant gas and diarrhea.
",1,1
"Have stopped taking drug one week ago and hope this goes away.
",0,0
"Excellent job of lowering my cholesterol!.
",0,0
"unexplained cough.
",1,1
"Doctors was unaware of this being a side effect of the drug.
",0,0
"I stopped using it 3 days ago and the cough is gone.
",1,1
"Last week, also stopped for two days and the cough stopped.
",1,1
"Each time I go back to taking Lipitor, I begin to cough heavily.
",1,1
"tired-weak-pains all over body-groggy-light headed.
",1,1
"all these statin drugs are death in a bottle.
",0,0
"they are the perfect med as they will cause the poor dumb patient to spend huge sums of money on tests-pain killers and other statins till they will one day they will just give up and lay down and die-BROKE-what a well laid plan by big pharma and covered by the criminal FDA food and drug syndicate.
",0,0
"Minor joint soreness, fatigue, have a hard time getting up in the morning.
",1,1
"I used to hop out of bed ready to go.
",0,0
"Right knee always sore and swollen.
",0,1
"After 8 months, I have lowered my cholesterol to a safe level using Lipitor.
",0,0
"I am also on Lopid to reduce Triglycerides.
",0,0
"I take Glucosamine and Chondroitin to reduce joint soreness.
",0,0
"seems to be working so far.
",0,0
"Some stomach sensitivity.
",1,1
"I am taking it only 1 time per day because of the possible side effects.
",0,0
"Without this drug I was severly restricted and could only walk less than 100 meters.
",0,1
"With the drug I can walk 1/2 km and function.
",0,0
"I am thinking of increasing it to twice per day and/or getting surgery and/or epidural steroid injection.
",0,0
"Definitely short term memory issues, but I'm 44 and I suppose it could be part of menopause on its way.
lowered overall cholesterol and my hdl went up to 59 from 35, and triglycerides went down but not enough.
",1,1
"LDL down too but not enough so taking higher dose now.
",0,0
"Worked like a champ at 10 mg for first two years.
",0,0
"Now switched from GP to cardiologist and he's upped it to 40 mg so will see.
have only taken 3 tablets since new dosage.

",0,0
"My mother started taking 40 mg. of Lipitor 3 months ago.
",0,0
"During the first month she complained about her head hurting.
",1,1
"She began getting very confused.
",1,1
"She was always exhausted, falling asleep all the time.
",1,1
"Complained about her legs always feeling like lead.
",1,1
"Within the last six weeks, her physical health has deteriorated to the point of her being confined to a wheelchair, in constant pain with her shoulders, knees, and a feeling like her whole body hurts.
",1,1
"She shakes as if she has Parkinsons.
",0,1
"If I had not seen the news recently about the two men suing Pfizer over what Lipitor had done to their lives, I wouldn't have even thought about that being the cause.
",0,0
"Finding this website confirmed it.
",0,0
"I have taken her off the Lipitor, and am hoping that alot of her pain and fatigue and muscle problems will start to get better, although it scares me that alot of people are saying they haven't improved.
",1,1
"I wish I had know about this a week after she started with the symptoms.
",0,0
"I would NEVER recommend this drug to anyone!
",0,0
"It has ruined whatever years my mother had left to enjoy life - she was very active for her age - now she's in a wheelchair.
",0,0
"Cramps in calves several times a day.
",1,1
"Legs feel tired and swollen.
",0,1
"Neck and shoulders ache and are sore all the time.
",0,1
"I am going off of it.
",0,0
"Gradual numbing of the feet over a period of a year.
",0,1
"Started on Zocor and Insurance recommended switch to Lipitor and had gradual side effects.
",0,0
"I'm back on Zocor and doing much better after a week.
",0,0
"I would not recommend Lipitor.
",0,0
"depression was awful!!!!
",1,1
"Took increasing doses to be good.
",1,0
"Depression increased as well.
",1,1
"Went on and off it six times and each time I restarted the medicine severe depression reoccured the went away quickly after stopping it.
",1,1
"Will not go near it again.
",0,0
"Better a heart attack than suicide.
",0,0
"Deafness, muscle pain, chronic rhinitus, upper respiratory infections, short term memory loss (really scary), tendonitis, fatigue, flatulance, stomach discomfort, abdominal cramps.
",1,1
"Aching over my entire body, extreme fatigue, stiffness when getting up in the morning or getting up after being off my feet for awhile.
",1,1
"Doctors make me feel like I am crazy.
",0,1
"Also had severe depression.
",1,1
"Have taken 2-3 different statins.
",0,0
"Like others who have written in, I have felt as though I am 100 yrs.",0,0
"old.
",0,0
"There is a wonderful website Spacedoc.net with much information on the statins, and he has published a book as well on the serious side effects of the statins.
",0,0
"Just before this last Christmas I had a small stroke and spent three days in the hospital.
",0,1
"To make a long story short, there are no after effects of the stroke.
",0,0
"In other words the symptoms went away.
",0,0
"But, my Doc put me on Aggrenox and 20mg of Lipitor.
",0,0
"I have very high arches and have had a little tingling in my feet for years.
",1,1
"This is really helped with a good arch support.
",0,0
"But for the last two months the pain in my feet and calves (and sometimes thigh) has gotten much worse.
",1,1
"I cannot walk very far and sleeping has become a problem because of the pain.
",1,1
"Because of the preexisting arch problem, I thought it was just naturally getting worse but after finding this web site I am not sure if it is not the Lipitor.
",0,0
"On a pain scale it has gone from a 1 or 2 to 7 or 8.
",1,0
"I have a followup apointment with my Doctor in two days and was thinking of asking him if I could go off the Lipitor.
",0,0
"What do you think? .
",0,0
"Back, hip thigh, knee pain, which is affecting my gait.
",1,1
"Memory loss.
",1,1
"I almost forgot(did I say memory loss?).
",1,1
"fatigue.
",1,1
"As the dose increases the pain has worsened.
",1,1
"I have been on Lipitor for probably 10 yrs.
Have tried nearly all statins with similar side effects.
",0,0
"10 mg no real side effects, no real benefits either; 40 mgs- fatigue, muscle aches but able to tolerate it though not happy and still no appreciable change in cholesterol.
",1,1
"now on 80 mg and feeling extremely uncomfortable.
",0,1
"Why am I on 80 mg?
because the insurance company required a trial at this high level, before I can switch to an alternative and reduce the dose back to 40 mg.
",0,0
"Since when did the insurance company go to med school so they can dictate what I should be on.
",0,0
"sorry for the rant.
",0,0
"unbearable stomach cramps on the fifth day -- vomiting for about 7 hours straight until I went to the Emergency Room.
",1,1
"They ended up cutting out my appendix -- I think it was inflamed due to the medicine.
",0,0
"It began with stomach pain,then slight nausea, then reflux each time I took a pill.
",1,1
"After the second pill the same progression of symptoms only now the abdominal gas,cramps and pain would be with me all day.
",0,1
"I stopped pills but abdominal cramps persist.
",1,1
"The only good thing I can say about Arthrotec is that I did notice pain relief but I won't put up with the side effects on a daily basis since I spent a long time getting rid of a reflux problem in the past.
",0,0
"The abdominal gas,cramps and discomfort are another thing I don't want to see get worse if I keep taking Arthrotec.
",0,1
"I've taken Tylenol 3 and never had a problem like this.
",0,0
"Perhaps there is something not right yet with Arthrotec.
",0,0
"extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes.
",1,1
"Have been taking 10 mg of lipitor for 8 months.
",0,0
"Also on strict low cholesterol diet and taking magnesium, omega 3, olive oil.
",0,0
"Lowered LDL from 186 to 80 and total cholesterol from 260 to 130.
have also lost 40 lbs.
",0,0
"Heart doctor says I should continue taking lipitor because it is good for the arterial walls and heart.
",0,0
"However, because of increasing bad side effects (especially extreme tiredness and general feeling of malais) am going to discontinue use and maintain strict diet and exercise.
",1,1
"Benefits of Lipitor on cholesterol levels have been very good but am increasingly concerned about long term side effects.
",0,0
"Eye sight appeared foggy when it was perfect before, some loss of hair, aches and pains in my back, a cough, sore ankles when I exercise.
",1,1
"Sore joints.
",1,1
"but even more scarey it made me depressed!
",1,1
"What sort of drugs are they maiking us take?
I'm stopping right now after finding this site.
",0,0
"It did lower my CL though.
",0,0
"I'm going to take Omega 3, carry on exercising and try my luck.
",0,0
"None whatsoever.
",0,0
"I'm taking 80 mg's a day which is the maximum dose and it brought my cholesterol levels comfortably back into the safe numbers.
",0,0
"My Grandmother is in the hopital with side affect of a storke, the Dr now think that it could be a reaction to Lipitor that she has been taking.
",1,0
"Started getting ocular migranes and migranes during sexual intercourse.
",1,1
"Never had migranes before.
",1,1
"Migranes stopped after stopping lipitor.
",1,1
"Leg, arm, shoulder, and foot pain.
",1,1
"Neuropathy in feet.
",1,1
"Constant pain!
Loss of energy.
",1,1
"Difficulty thinking and speaking in a glib fashion.
",1,1
"Disturbed sleep patterns.
",1,1
"Difficulty urinating.
",1,1
"Increase in blood pressure from below normal to slightly above normal, lack of sexual desire.
",1,1
"Less muscle mass even though I force myself to work out at least four times per week ( usually five).
",1,1
"Decreased energy and constant lethargy.
",1,1
".
",0,0
"Although it lowers wy cholesterol levels appropriately, it seems to have given me debilitating side effects that have decreased my enjoyment of life in general.
",1,0
"I fear stopping the lipitor because I fear a heart attack.
",0,0
Bt,0,0
"I hate the side effects!
",0,0
"I take vitamin c, fish oil capsules, CO Q 10, eat well, am allergic to red meat and have not eaten any in more than 35 years.
",0,0
"I eat salad everyday for lunch, eat fruit and vegetables daily, and take many vitamins and supplements ( astaxanthan, MSM, alpha lipoid acid, vit.",0,0
"B complex, 500mg of time release Niacin, and more).
",0,0
"One would expect me to be healthy and have a ton of energy, but instead, I feel Ike",0,0
"I have one foot in the grave and the other on a banana peel.
",0,0
"I attribute all the negatives to the Lipitor.
",0,0
"The worst of all the side effects is the horrible pain in my feet ( I have professionally prescribed orthotics in my shoes at all times).
",1,1
"At first I had muscle pain, but that faded out.
",1,1
"Next effect was short term memory: I would gas up, then try to pay without hanging up the pump.
",1,1
"When I not only paid someone's bill but also drove off WITHOUT HANGING UP THE PUMP, I stopped taking the drug.
",0,0
"While it did lower my Cholesterol numbers (as did Simvastatin afterwards), I'm not sure it was worth it.
",0,0
"Especially when I forget something important to my job and which I should have overlearned from years of gassing up cars.
",0,0
"Memory is one of the things that cholesterol is used for making, and to me anything that cuts it off is best avoided.
",0,0
It brought my husband's chol.,0,0
"down from 310 to 175.
",0,0
"He had to stop taking it because it has damaged his liver.
",0,1
"He has an ultra sound scheduled for this month.
",0,0
"I DO NOT recommend this medication.
",0,0
".
",0,0
"after visiting this site it is like looking into a mirrow.
",0,0
"i have had most of the problems many are having,infact it is 4 am can not sleep for just turning in bed is painful.
decided to do a little research on LIPITOR it has dropped cholosterol from 395 to 187 and tri from 1100 to 300 but i wounder if it worth the side-effects.
",1,1
"before medication had mild heart attack was put on lipitor, at first i felt good but now back pain and tiredness is at a high level, my wife complains that i need exercise but she does not understand i hurt just as much now as i did with the heart attack, i guess it all boils down to if i could get some rest, but seems impossible for just moving in bed is painful.
",1,1
"None.
",0,0
