id,text,label,label_text,meta_doc_drugs,meta_prev_context,span_offsets,source_file,final_pred,agent_reasoning
LIPITOR.952_0,"I have taken Lipitor for 4 years with no problems - lowered my cholesterol.
",0,Not-Related,Lipitor; Pravachol,,"0, 76",LIPITOR.952.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.952_1,"Insurance co. has decided I need a generic Pravachol.
",0,Not-Related,Lipitor; Pravachol,"I have taken Lipitor for 4 years with no problems - lowered my cholesterol.
","76, 130",LIPITOR.952.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.952_2,"In just two weeks, I feel achy, muscle fatigue, memory loss.
",0,Not-Related,Lipitor; Pravachol,"Insurance co. has decided I need a generic Pravachol.
","130, 191",LIPITOR.952.txt,1,"The text describes new onset of physiological symptoms (achy, muscle fatigue, memory loss) after starting the drug, which are consistent with potential adverse effects of statins."
LIPITOR.952_3,"I don't think insurance co. should have the say on what medicines I take.
",0,Not-Related,Lipitor; Pravachol,"In just two weeks, I feel achy, muscle fatigue, memory loss.
","191, 265",LIPITOR.952.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.211_0,"insomnia, muscle aches.
",1,Related,Lipitor,,"0, 24",LIPITOR.211.txt,1,"The text describes physiological issues (insomnia, muscle aches) which are common adverse drug events associated with statins like Lipitor. There is no indication that these are reasons for taking the drug, pre-existing conditions, or negated symptoms."
LIPITOR.211_1,"It's 1:00am, taking 10 mg, haven't slept in over a week.
",1,Related,Lipitor,"insomnia, muscle aches.
","24, 81",LIPITOR.211.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.211_2,"Plan to stop taking Lipitor tomorrow.
",0,Not-Related,Lipitor,"It's 1:00am, taking 10 mg, haven't slept in over a week.
","81, 119",LIPITOR.211.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.211_3,"It did lower my cholesterol tho.
",0,Not-Related,Lipitor,"Plan to stop taking Lipitor tomorrow.
","119, 152",LIPITOR.211.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.205_0,"Alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life.
",1,Related,Lipitor,,"0, 183",LIPITOR.205.txt,1,"The text describes multiple physiological issues, pain, and mental state changes (alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, exhaustion, muscle fatigue, sleeplessness, facial paralysis, loss of quality of life) which are consistent with potential adverse drug events and are not indications for Lipitor."
LIPITOR.205_1,"Have been on Lipitor for approx.
2 1/2 years.
",0,Not-Related,Lipitor,"Alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life.
","183, 229",LIPITOR.205.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.205_2,"Within 5 months experienced alopecia, which I had never had before and excused as stress related.
",1,Related,Lipitor,"Have been on Lipitor for approx.
2 1/2 years.
","229, 327",LIPITOR.205.txt,1,"The text describes a new physiological issue (alopecia) that occurred after starting the drug, which was not pre-existing."
LIPITOR.205_3,"Nausea and vomiting began several months later, if taken within a 3-4 hours of eating.
",1,Related,Lipitor,"Within 5 months experienced alopecia, which I had never had before and excused as stress related.
","327, 414",LIPITOR.205.txt,1,"The text describes new physiological symptoms (nausea and vomiting) that began after drug use and are linked to its administration, consistent with an adverse drug event."
LIPITOR.205_4,"Then within a year of being on the medication, I experienced severe facial paralysis diagnosed as Bell's Palsey.
",1,Related,Lipitor,"Nausea and vomiting began several months later, if taken within a 3-4 hours of eating.
","414, 527",LIPITOR.205.txt,1,"The text describes a new physiological issue (severe facial paralysis/Bell's Palsey) that occurred within a year of being on the medication (Lipitor), indicating it happened during drug use."
LIPITOR.205_5,"Severe hip and back pain followed, along with depression, thoughts of suicide and paranoia.
",1,Related,Lipitor,"Then within a year of being on the medication, I experienced severe facial paralysis diagnosed as Bell's Palsey.
","527, 619",LIPITOR.205.txt,1,"The text describes multiple physiological issues (severe hip and back pain) and mental health issues (depression, thoughts of suicide, paranoia) that 'followed,' implying they occurred after or during drug exposure. These are not indications for Lipitor."
LIPITOR.205_6,"The overwhelming exhaustion that I felt every morning for over a year intensified.
",1,Related,Lipitor,"Severe hip and back pain followed, along with depression, thoughts of suicide and paranoia.
","619, 702",LIPITOR.205.txt,1,"The text describes the 'intensification' of a physiological issue (exhaustion). While the exhaustion itself was pre-existing, its worsening (intensification) can be considered an Adverse Drug Event if attributed to the drug."
LIPITOR.205_7,"I have tried altering when I take Lipitor but it did not help with the nausea.
",1,Related,Lipitor,"The overwhelming exhaustion that I felt every morning for over a year intensified.
","702, 781",LIPITOR.205.txt,1,"The text describes 'nausea' as a physiological issue that the user is attempting to manage by altering Lipitor administration, implying a causal relationship with the drug."
LIPITOR.205_8,"I stopped taking the Lipitor 45 days ago after I began to experience hair loss again.
",1,Related,Lipitor,"I have tried altering when I take Lipitor but it did not help with the nausea.
","781, 867",LIPITOR.205.txt,1,"The text describes a physiological issue (hair loss) that began after or during the use of Lipitor, leading to drug discontinuation. A recurrence of a symptom linked to drug use is considered an ADE."
LIPITOR.205_9,"I researched Lipitor in a pharmacy book and realized hair loss, along with most of my other ailments, were side effects.
",1,Related,Lipitor,"I stopped taking the Lipitor 45 days ago after I began to experience hair loss again.
","867, 988",LIPITOR.205.txt,1,"The user explicitly states that 'hair loss' and 'most of my other ailments' were 'side effects' of Lipitor, indicating these physiological issues were experienced and attributed to the drug."
LIPITOR.205_10,"I started noticing improvement during the first 30 days.
",0,Not-Related,Lipitor,"I researched Lipitor in a pharmacy book and realized hair loss, along with most of my other ailments, were side effects.
","988, 1045",LIPITOR.205.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.205_11,"At 45 days, my facial paralysis is 99% gone, I wake rested, my back and hip pain are slowly improving and my overall mental wellbein.
",1,Related,Lipitor,"I started noticing improvement during the first 30 days.
","1045, 1179",LIPITOR.205.txt,0,"The text describes the improvement or resolution of symptoms (facial paralysis, back/hip pain), not their onset or worsening due to Lipitor. It does not indicate Lipitor caused these issues."
ARTHROTEC.17_0,"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.
",1,Related,Advil,,"0, 146",ARTHROTEC.17.txt,1,"The text describes a new, severe physiological symptom (abdominal pain/cramping) that occurred shortly after taking the drug, consistent with a potential adverse drug event."
ARTHROTEC.17_1,"i had to keep dropping into a crouched position due to the severity of the lower abdominal pain.
",1,Related,Advil,"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.
","146, 243",ARTHROTEC.17.txt,1,"The text describes a severe physiological symptom (lower abdominal pain) which is a known potential adverse effect of Advil (ibuprofen), an NSAID, often related to gastrointestinal irritation. The description does not suggest it was the indication for taking the drug, but rather a new or worsening symptom."
ARTHROTEC.17_2,"i was put on this medication because i was taking such high doses of Advil to quell the inflammation in my neck and back muscles that it caused me to have a GI bleed.
",1,Related,Advil,"i had to keep dropping into a crouched position due to the severity of the lower abdominal pain.
","243, 410",ARTHROTEC.17.txt,1,"The text explicitly states that high doses of Advil 'caused me to have a GI bleed,' indicating a physiological issue that occurred as a result of the drug's use."
ARTHROTEC.17_3,"but after this little episode, and after reading that it can cause heavy menstrual bleeding, i highly doubt this drug is the best fit for my problem!!
",1,Related,Advil,"i was put on this medication because i was taking such high doses of Advil to quell the inflammation in my neck and back muscles that it caused me to have a GI bleed.
","410, 561",ARTHROTEC.17.txt,1,"The user describes experiencing an 'episode' (implied to be heavy menstrual bleeding) after using the drug and then connects this experience to information that the drug 'can cause heavy menstrual bleeding', indicating a suspected adverse drug event."
ARTHROTEC.17_4,"i already have anemia due to the gastric bleed.
",1,Related,Advil,"but after this little episode, and after reading that it can cause heavy menstrual bleeding, i highly doubt this drug is the best fit for my problem!!
","561, 609",ARTHROTEC.17.txt,0,"The text explicitly states 'i already have anemia due to the gastric bleed,' indicating a pre-existing condition rather than a new side effect caused by Advil."
ARTHROTEC.17_5,"how could my doctor not think of this?
",0,Not-Related,Advil,"i already have anemia due to the gastric bleed.
","609, 648",ARTHROTEC.17.txt,0,Auto-Rejected by Hunter (Low Probability)
ARTHROTEC.17_6,"i'm also starting to feel dizzy and light headed, and can feel acidic bile at the back of my throat.
",1,Related,Advil,"how could my doctor not think of this?
","648, 749",ARTHROTEC.17.txt,1,"The text describes new physiological symptoms (dizziness, lightheadedness, acidic bile/reflux) which are not the indication for Advil and are known potential side effects of NSAIDs."
ARTHROTEC.17_7,"great!!
",0,Not-Related,Advil,"i'm also starting to feel dizzy and light headed, and can feel acidic bile at the back of my throat.
","749, 757",ARTHROTEC.17.txt,0,Auto-Rejected by Hunter (Low Probability)
ARTHROTEC.17_8,":|.
",0,Not-Related,Advil,"great!!
","757, 761",ARTHROTEC.17.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.826_0,"Achilles Tendonsitis, foot pain, weakness in upper arm muscles, severe knee pain, gas, arthritis like symptoms in hands, swelling of ankles, shin pain, increased fatigue and occasional leg cramps.
",1,Related,LIPITOR.826,,"0, 197",LIPITOR.826.txt,1,"The text describes multiple physiological issues including Achilles Tendonitis, various pains, muscle weakness, swelling, fatigue, and cramps, which are consistent with potential adverse drug events associated with statins like Lipitor."
LIPITOR.826_1,"Until I found this site I could not understand why.
",0,Not-Related,LIPITOR.826,"Achilles Tendonsitis, foot pain, weakness in upper arm muscles, severe knee pain, gas, arthritis like symptoms in hands, swelling of ankles, shin pain, increased fatigue and occasional leg cramps.
","197, 249",LIPITOR.826.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.615_0,"muscle pain related to shoulders.
",1,Related,LIPITOR.615,,"0, 34",LIPITOR.615.txt,1,Muscle pain (myalgia) is a known and common adverse drug event associated with statins like Lipitor. The text describes a physiological issue consistent with a side effect.
CATAFLAM.7_0,"Absolutely none!.
",0,Not-Related,Bextra; Cataflam; Celebrx; Vioxx,,"0, 18",CATAFLAM.7.txt,0,Auto-Rejected by Hunter (Low Probability)
CATAFLAM.7_1,"I was originally taking 150mg per day, but cut it to 100mg because the lesser dose seemed to work as well.
",0,Not-Related,Bextra; Cataflam; Celebrx; Vioxx,"Absolutely none!.
","18, 125",CATAFLAM.7.txt,0,Auto-Rejected by Hunter (Low Probability)
CATAFLAM.7_2,"My internist had urged me to take Vioxx, Celebrx and Bextra (at different times, of course), but the relief I experienced was not as dramatic as the Cataflam.
",0,Not-Related,Bextra; Cataflam; Celebrx; Vioxx,"I was originally taking 150mg per day, but cut it to 100mg because the lesser dose seemed to work as well.
","125, 284",CATAFLAM.7.txt,0,Auto-Rejected by Hunter (Low Probability)
CATAFLAM.7_3,"My orthopaedic surgeon prescribes the Cataflam.
",0,Not-Related,Bextra; Cataflam; Celebrx; Vioxx,"My internist had urged me to take Vioxx, Celebrx and Bextra (at different times, of course), but the relief I experienced was not as dramatic as the Cataflam.
","284, 332",CATAFLAM.7.txt,0,Auto-Rejected by Hunter (Low Probability)
CATAFLAM.7_4,"It has a slight effect on my blood pressure, but, since my pressure is usually low, that is not considered a health risk.
",1,Related,Bextra; Cataflam; Celebrx; Vioxx,"My orthopaedic surgeon prescribes the Cataflam.
","332, 454",CATAFLAM.7.txt,0,Auto-Rejected by Hunter (Low Probability)
CATAFLAM.6_0,"Lower gut pain, diahrrea.
",1,Related,CATAFLAM.6,,"0, 26",CATAFLAM.6.txt,1,"The text describes physiological symptoms (lower gut pain, diarrhea) that are not indications for taking Cataflam and are consistent with potential adverse drug events for NSAIDs."
CATAFLAM.6_1,"This is the only NSAID I've ever taken that gave me discernable relief within 90 minutes of taking it.
",1,Related,CATAFLAM.6,"Lower gut pain, diahrrea.
","26, 129",CATAFLAM.6.txt,0,Auto-Rejected by Hunter (Low Probability)
CATAFLAM.6_2,"Gastrointestinal problems were due largely to my taking the drug too close together, or after having consumed large amounts of alcohol.
",1,Related,CATAFLAM.6,"This is the only NSAID I've ever taken that gave me discernable relief within 90 minutes of taking it.
","129, 265",CATAFLAM.6.txt,1,"The text describes 'Gastrointestinal problems' which are physiological issues, and explicitly states they 'were due largely to my taking the drug', indicating they occurred during drug use."
LIPITOR.600_0,"None identified.
",0,Not-Related,LIPITOR.600,,"0, 17",LIPITOR.600.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.600_1,"Currently taking 20 mg/day.
",0,Not-Related,LIPITOR.600,"None identified.
","17, 45",LIPITOR.600.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.600_2,Has reduced LDL and total cholesterol effectively (latter to ca.,0,Not-Related,LIPITOR.600,"Currently taking 20 mg/day.
","45, 109",LIPITOR.600.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.600_3,100),0,Not-Related,LIPITOR.600,Has reduced LDL and total cholesterol effectively (latter to ca.,"110, 114",LIPITOR.600.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.600_4,", but HDL is still low.
",0,Not-Related,LIPITOR.600,100),"114, 138",LIPITOR.600.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_0,"I am female, age 55 and generally in good health.
",0,Not-Related,Lipitor,,"0, 50",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_1,"No smoking or drinking and work daily.
",0,Not-Related,Lipitor,"I am female, age 55 and generally in good health.
","50, 89",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_2,"Wt is 15 lbs more than it should be.
",0,Not-Related,Lipitor,"No smoking or drinking and work daily.
","89, 126",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_3,"Cholesterol has been high for years despite diet.
",0,Not-Related,Lipitor,"Wt is 15 lbs more than it should be.
","126, 176",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_4,"Taking 40mg daily for 1 year, took 20mg previously.
",0,Not-Related,Lipitor,"Cholesterol has been high for years despite diet.
","176, 228",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_5,"Lately I realized everything hurts.
",1,Related,Lipitor,"Taking 40mg daily for 1 year, took 20mg previously.
","228, 264",LIPITOR.833.txt,1,"The text describes a physiological issue ('everything hurts') which is a new or recent symptom ('Lately I realized'). This aligns with a potential adverse drug event, as muscle pain is a known side effect of Lipitor."
LIPITOR.833_6,"It crept up on me.
",0,Not-Related,Lipitor,"Lately I realized everything hurts.
","264, 283",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_7,"I am an RN and still did not put it together until this week when I decided something is not right.
",0,Not-Related,Lipitor,"It crept up on me.
","283, 383",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_8,"When the aches and pains were mild I thought it was arthritis or too much activity.
",1,Related,Lipitor,"I am an RN and still did not put it together until this week when I decided something is not right.
","383, 467",LIPITOR.833.txt,1,"The text describes 'aches and pains,' which are physiological symptoms. While the user initially attributed them to other causes, this is a common way patients describe potential side effects before linking them to a drug. Aches and pains are known side effects of Lipitor (statins)."
LIPITOR.833_9,"Stopped the Lipitor and the generalized aches and pains are fading after just 3 days.
",1,Related,Lipitor,"When the aches and pains were mild I thought it was arthritis or too much activity.
","467, 553",LIPITOR.833.txt,1,"The text describes 'generalized aches and pains' that are 'fading' after stopping Lipitor, indicating the symptoms were likely caused by the drug."
LIPITOR.833_10,"Will explore other options but these drugs have not been around long enough to confirm long term effects.
",0,Not-Related,Lipitor,"Stopped the Lipitor and the generalized aches and pains are fading after just 3 days.
","553, 659",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.833_11,"Looking at this site, I will begin to ask my patients that are on statins about their history.
",0,Not-Related,Lipitor,"Will explore other options but these drugs have not been around long enough to confirm long term effects.
","659, 754",LIPITOR.833.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.44_0,"It either caused or gave me peripheral neuropathy in my hands, arms, feet and legs.
",0,Not-Related,LIPITOR.44,,"0, 84",LIPITOR.44.txt,1,"The text describes peripheral neuropathy, a physiological issue, which the user attributes to the drug ('It either caused or gave me'). This indicates a potential adverse drug event."
LIPITOR.44_1,"And it damaged my liver.
",1,Related,LIPITOR.44,"It either caused or gave me peripheral neuropathy in my hands, arms, feet and legs.
","84, 109",LIPITOR.44.txt,1,"The text explicitly states the drug 'damaged my liver,' which is a physiological issue occurring due to the drug's use."
LIPITOR.44_2,"No one should ever take a statin.
",0,Not-Related,LIPITOR.44,"And it damaged my liver.
","109, 143",LIPITOR.44.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.44_3,"It should be taken off the market.
",0,Not-Related,LIPITOR.44,"No one should ever take a statin.
","143, 178",LIPITOR.44.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_0,"Eczema on hands and feet, rash on upper left torso, depression.
",1,Related,lipitor,,"0, 64",LIPITOR.776.txt,1,"The text describes physiological issues (eczema, rash, depression) which are not indications for Lipitor and are presented as potential adverse events."
LIPITOR.776_1,"Cholesterol at 312.
",0,Not-Related,lipitor,"Eczema on hands and feet, rash on upper left torso, depression.
","64, 84",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_2,"Stopped taking after 6 days and depression lifted a few days later.
",1,Related,lipitor,"Cholesterol at 312.
","84, 152",LIPITOR.776.txt,1,"The text describes depression, a physiological issue, that resolved after stopping the drug, indicating a temporal relationship with the drug's use."
LIPITOR.776_3,"Took 2 weeks for eczema outbreak to subside.
",1,Related,lipitor,"Stopped taking after 6 days and depression lifted a few days later.
","152, 197",LIPITOR.776.txt,1,"The text describes an 'eczema outbreak,' which is a physiological issue and a potential adverse drug event. There is no information to suggest it was an indication for the drug, pre-existing, or negated."
LIPITOR.776_4,"Started taking an herbal cholesterol formula by Dr Sinatra and eating oatmeal everyday.
8 weeks after stopping lipitor was retested and cholesterol dropped to 255.
obviously not from lipitor but from changes in diet and supplements.
",0,Not-Related,lipitor,"Took 2 weeks for eczema outbreak to subside.
","197, 430",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_5,"doc want to try lower dosage but i am hesitant.
",0,Not-Related,lipitor,"Started taking an herbal cholesterol formula by Dr Sinatra and eating oatmeal everyday.
8 weeks after stopping lipitor was retested and cholesterol dropped to 255.
obviously not from lipitor but from changes in diet and supplements.
","430, 478",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_6,"i'm staying on new diet and supplements for now.
",0,Not-Related,lipitor,"doc want to try lower dosage but i am hesitant.
","478, 527",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_7,"retest in 30 days to see how effective.
",0,Not-Related,lipitor,"i'm staying on new diet and supplements for now.
","527, 567",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_8,"trying to avoid statins at all cost.
",0,Not-Related,lipitor,"retest in 30 days to see how effective.
","567, 604",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_9,"doc is very insistant, almost as if he's getting a kickback.
",0,Not-Related,lipitor,"trying to avoid statins at all cost.
","604, 665",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.776_10,"we'll see.
",0,Not-Related,lipitor,"doc is very insistant, almost as if he's getting a kickback.
","665, 676",LIPITOR.776.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_0,"NONE.
",0,Not-Related,LIPITOR.560,,"0, 6",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_1,"I BELIEVE THIS DRUG IS AN EXCELLENT ONE.
",0,Not-Related,LIPITOR.560,"NONE.
","6, 47",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_2,"STARTED TAKING IT ABOUT SIX MONTHS AGO WHEN GIVEN TO ME BY MY CARDIOLOGIST.
",0,Not-Related,LIPITOR.560,"I BELIEVE THIS DRUG IS AN EXCELLENT ONE.
","47, 123",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_3,"NO IMMEDIATE OR SIDE EFFECTS NOTED SINCE STARTING.
",0,Not-Related,LIPITOR.560,"STARTED TAKING IT ABOUT SIX MONTHS AGO WHEN GIVEN TO ME BY MY CARDIOLOGIST.
","123, 174",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_4,"HOWEVER, ON MY LIPID BLOOD TEST FOUR MONTHS LATER, WOW WHAT AN IMPROVEMENT.
",0,Not-Related,LIPITOR.560,"NO IMMEDIATE OR SIDE EFFECTS NOTED SINCE STARTING.
","174, 250",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_5,IT NOT ONLY MARKEDLY KNOCKED MY BAD CHOLESTEROL DOWN,0,Not-Related,LIPITOR.560,"HOWEVER, ON MY LIPID BLOOD TEST FOUR MONTHS LATER, WOW WHAT AN IMPROVEMENT.
","250, 302",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_6,"BUT I WOULD SAY IT WAS A MONUMENTAL ACHIEVEMENT.
",0,Not-Related,LIPITOR.560,IT NOT ONLY MARKEDLY KNOCKED MY BAD CHOLESTEROL DOWN,"303, 352",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_7,"WHEREAS TOTAL CHOLESTEROL HAD BEEN OVER 200 PREVIOUSLY, NOW IT WAS ONLY 151 AND THE BAD PORTION.
",0,Not-Related,LIPITOR.560,"BUT I WOULD SAY IT WAS A MONUMENTAL ACHIEVEMENT.
","352, 449",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_8,"I THINK HDL.
",0,Not-Related,LIPITOR.560,"WHEREAS TOTAL CHOLESTEROL HAD BEEN OVER 200 PREVIOUSLY, NOW IT WAS ONLY 151 AND THE BAD PORTION.
","449, 462",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_9,"WAS JUST 54.
",0,Not-Related,LIPITOR.560,"I THINK HDL.
","462, 475",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_10,"I AM WELL SATISFIED.
",0,Not-Related,LIPITOR.560,"WAS JUST 54.
","475, 496",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_11,I AM AWARE OF SOME COMPLAINTS AND SPECULATION BY OTHERS,0,Not-Related,LIPITOR.560,"I AM WELL SATISFIED.
","496, 551",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.560_12,"BUT I AM GOING TO KEEP TAKING IT.
",0,Not-Related,LIPITOR.560,I AM AWARE OF SOME COMPLAINTS AND SPECULATION BY OTHERS,"552, 586",LIPITOR.560.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.206_0,"Debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.
",1,Related,Lipitor,,"0, 141",LIPITOR.206.txt,1,"The text describes multiple physiological issues including debilitating muscle and joint pain, swelling, numbness, tingling, headaches, fatigue, and blurred vision, which are consistent with potential adverse drug events associated with Lipitor (a statin)."
